Rinkimai,Sąrašas,Porinkiminis nr sąraše ,"Vardas, pavardė ","Vardas, Pavarde (be ""(V)"")",Priešrinkiminis nr sąraše ,Pirmumo balsai,Reitingo balai
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,1,GABRIELIUS LANDSBERGIS (V) ,GABRIELIUS LANDSBERGIS ,1,132227,132227
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2,INGRIDA ŠIMONYTĖ (V) ,INGRIDA ŠIMONYTĖ ,4,118263,118263
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,3,ANDRIUS KUBILIUS ,ANDRIUS KUBILIUS ,3,72731,72731
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,4,IRENA DEGUTIENĖ ,IRENA DEGUTIENĖ ,2,66723,66723
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,5,AGNĖ BILOTAITĖ ,AGNĖ BILOTAITĖ ,5,50983,50983
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,6,RASA JUKNEVIČIENĖ ,RASA JUKNEVIČIENĖ ,7,38480,38480
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,7,ŽYGIMANTAS PAVILIONIS (V) ,ŽYGIMANTAS PAVILIONIS ,18,27029,27029
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,8,RADVILĖ MORKŪNAITĖ-MIKULĖNIENĖ ,RADVILĖ MORKŪNAITĖ-MIKULĖNIENĖ ,9,23031,23031
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,9,PAULIUS SAUDARGAS (V) ,PAULIUS SAUDARGAS ,6,18454,18454
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,10,MANTAS ADOMĖNAS ,MANTAS ADOMĖNAS ,14,17594,17594
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,11,MYKOLAS MAJAUSKAS (V) ,MYKOLAS MAJAUSKAS ,36,17351,17351
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,12,TADAS LANGAITIS ,TADAS LANGAITIS ,29,17310,17310
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,13,DAINIUS KREIVYS (V) ,DAINIUS KREIVYS ,12,17204,17204
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,14,VYTAUTAS JUOZAPAITIS ,VYTAUTAS JUOZAPAITIS ,8,15553,15553
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,15,VYTAUTAS KERNAGIS (V) ,VYTAUTAS KERNAGIS ,22,14921,14921
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,16,KĘSTUTIS MASIULIS ,KĘSTUTIS MASIULIS ,19,13483,13483
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,17,JURGIS RAZMA ,JURGIS RAZMA ,10,13427,13427
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,18,LAURYNAS KASČIŪNAS ,LAURYNAS KASČIŪNAS ,11,13184,13184
2016 Seimo rinkimai,Tėvynės sąjunga - Lietuvos krikščionys demokratai,19,ARVYDAS ANUŠAUSKAS ,ARVYDAS ANUŠAUSKAS ,13,12313,12313
